# ╔══════════════════════════════════════════════════════╗
# ║     Enterprise Honeypot Threat Intelligence Feed      ║
# ║     by Loki | T-Pot v24.04.1 | AWS eu-central-1      ║
# ╚══════════════════════════════════════════════════════╝
#
# Updated: 2026-03-16 15:26:54 UTC
# Total IPs: 1000
# Criteria: HIGH and CRITICAL threat score from live honeypot
# Sources: VirusTotal + AbuseIPDB correlation
# Format: IP | Threat Level | Score | ISP | Country
#
# Usage:
#   iptables: iptables -A INPUT -s <IP> -j DROP
#   firewall: Add to blocklist/blackhole route
#

# ── CRITICAL THREATS ─────────────────────────────────
220.76.68.23         # CRITICAL | Score: 94 | Korea Telecom | KR
185.226.197.12       # CRITICAL | Score: 94 | ICG-4-ZEN-AMS | PT
66.132.153.127       # CRITICAL | Score: 94 | Censys, Inc. | US
91.224.92.177        # CRITICAL | Score: 94 | Cloud hosting | GB
60.191.125.35        # CRITICAL | Score: 94 | Hangzhou Shentong Investment C | CN
176.65.149.235       # CRITICAL | Score: 94 | Pfcloud UG | NL
80.82.70.133         # CRITICAL | Score: 94 | FiberXpress BV | NL
80.94.95.115         # CRITICAL | Score: 94 | UNMANAGED LTD | RO
82.165.66.87         # CRITICAL | Score: 94 | IONOS SE | DE
80.94.95.116         # CRITICAL | Score: 94 | UNMANAGED LTD | RO
81.168.83.103        # CRITICAL | Score: 94 | Sapphire Web Services Limited | GB
66.132.153.127       # CRITICAL | Score: 94 | Censys, Inc. | US
5.61.209.96          # CRITICAL | Score: 94 | Amarutu Technology Ltd | SC
45.205.1.8           # CRITICAL | Score: 94 | VPSVAULT.HOST LTD | US
176.65.149.235       # CRITICAL | Score: 94 | Pfcloud UG | NL
220.76.68.23         # CRITICAL | Score: 94 | Korea Telecom | KR
45.142.193.221       # CRITICAL | Score: 94 | Limited Network LTD | RO
60.191.125.35        # CRITICAL | Score: 94 | Hangzhou Shentong Investment C | CN
185.226.197.12       # CRITICAL | Score: 94 | ICG-4-ZEN-AMS | PT
93.174.93.12         # CRITICAL | Score: 94 | FiberXpress BV | NL
45.135.194.48        # CRITICAL | Score: 94 | Pfcloud UG | DE
66.132.153.122       # CRITICAL | Score: 94 | Censys, Inc. | US
45.156.128.56        # CRITICAL | Score: 94 | INAP-AMS-1 | PT
195.178.110.108      # CRITICAL | Score: 94 | TECHOFF SRV LIMITED | BG
66.132.153.121       # CRITICAL | Score: 94 | Censys, Inc. | US
91.224.92.177        # CRITICAL | Score: 94 | Cloud hosting | GB
45.156.129.65        # CRITICAL | Score: 94 | INAP-CHI-1 | PT
185.224.128.251      # CRITICAL | Score: 94 | Alsycon B.V. | NL
66.132.153.119       # CRITICAL | Score: 94 | Censys, Inc. | US
45.156.128.57        # CRITICAL | Score: 94 | INAP-AMS-1 | PT
170.64.134.231       # CRITICAL | Score: 94 | DigitalOcean, LLC | AU
165.154.138.34       # CRITICAL | Score: 94 | UCLOUD INFORMATION TECHNOLOGY  | DE
176.65.148.214       # CRITICAL | Score: 94 | Pfcloud UG | NL
204.76.203.73        # CRITICAL | Score: 94 | Intelligence Hosting LLC | NL
185.12.59.118        # CRITICAL | Score: 94 | Blix Group AS | NO
66.132.153.135       # CRITICAL | Score: 94 | Censys, Inc. | US
118.194.236.126      # CRITICAL | Score: 94 | UCLOUD INFORMATION TECHNOLOGY  | JP
66.132.153.123       # CRITICAL | Score: 94 | Censys, Inc. | US
80.94.95.116         # CRITICAL | Score: 94 | UNMANAGED LTD | RO
80.94.95.115         # CRITICAL | Score: 94 | UNMANAGED LTD | RO
118.194.236.126      # CRITICAL | Score: 94 | UCLOUD INFORMATION TECHNOLOGY  | JP
66.132.153.140       # CRITICAL | Score: 94 | Censys, Inc. | US
170.64.134.231       # CRITICAL | Score: 94 | DigitalOcean, LLC | AU
45.205.1.8           # CRITICAL | Score: 94 | VPSVAULT.HOST LTD | US
66.132.153.135       # CRITICAL | Score: 94 | Censys, Inc. | US
81.168.83.103        # CRITICAL | Score: 94 | Sapphire Web Services Limited | GB
165.154.138.34       # CRITICAL | Score: 94 | UCLOUD INFORMATION TECHNOLOGY  | DE
45.156.128.56        # CRITICAL | Score: 94 | INAP-AMS-1 | PT
66.132.153.123       # CRITICAL | Score: 94 | Censys, Inc. | US
185.241.208.45       # CRITICAL | Score: 94 | 1337 Services GmbH | PL
45.33.65.239         # CRITICAL | Score: 93 | Linode | US
130.12.180.19        # CRITICAL | Score: 93 | Virtualine Technologies | US
45.33.65.239         # CRITICAL | Score: 93 | Linode | US
